"作物","栽培形態","月","作業","施肥_種類","N(g)","P(g)","K(g)","施肥基準","施肥_メモ","薬剤"
"レモン","鉢植え","1","休眠管理／寒風対策。防寒（鉢は北風回避）。石灰硫黄合剤など冬季防除（落葉樹）。支柱点検。 / 常緑の寒害対策（5℃目安で屋外保護／移動）。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","2","剪定（落葉果樹の主剪定）・鉢増し適期（2月中〜3月上旬）。元肥（有機緩効性を控えめ）。 / 春梢前の軽剪定（強剪定は避ける）。鉢は根詰まりなら2〜3年に一度鉢増し。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","3","芽動き前後の防除（病害虫予防）。新芽の遅霜対策。発芽後は潅水頻度を徐々に増やす。 / マシン油乳剤など越冬害虫対策。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","4","新梢管理・誘引・芽かき。置き肥を少量。病害虫（アブラムシ、うどんこ）初期防除。 / 春芽伸長。新梢は混み合い間引き。置き肥少量（緩効性）。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","5","開花・結実管理。摘蕾・摘果の開始。灌水と乾湿メリハリ。病害虫モニタリング強化。 / 開花・結実。着果過多は6月までに摘果。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","6","梅雨期の過湿対策（高鉢・雨除け）。果実肥大期の摘果仕上げ。カイガラムシ・灰色かび対策。 / 梅雨期の黒点・そうか・ハダニ対策。排水を確保。 / 鉢土の目詰まり回避（割り箸通気/表土入替）。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","7","高温乾燥対策（朝夕の水やり）。マルチや遮光。夏剪定は最小限。追肥は控えめ。 / 果実肥大。夏肥は控えめ（チッソ過多は徒長）。 / 二重鉢・鉢カバーで根の高温障害を回避。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","8","裂果・日焼け防止。灌水は早朝中心。病害虫は捕殺・薬剤ローテーション。 / 朝夕灌水＋腰水は避ける。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","9","収穫・追熟管理。秋肥の準備（落葉後に）。新梢充実を優先し窒素は控える。 / 秋梢管理。追肥は少量。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","10","収穫後のお礼肥（控えめ）。葉色観察とマグネシウム欠乏対策。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","11","落葉期の衛生管理（落ち葉処分）。移植・植え付けは落葉後〜厳冬前に可。 / 寒波前に防寒資材準備。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","12","休眠入り。防寒・防霜（鉢は壁際へ）。資材整備と来季計画。 / 鉢は雨当たり・北風直撃を避けた場所へ移動。","","0.0","0.0","0.0","鉢(10号)",""
"桃","鉢植え","1","休眠期の衛生管理。越冬病害虫の防除（一部は冬季限定薬剤）。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"桃","鉢植え","2","主枝更新・結果母枝の確保を意識した剪定。鉢増し可。元肥を控えめに。","緩効性・有機配合・置き肥（8-8-8相当）・少量","2","2","2","鉢(10号)","",""
"桃","鉢植え","3","萌芽・開花前の防霜。縮葉病の初期防除。","","0","0","0","鉢(10号)","","縮葉病：保護殺菌剤（銅）等"
"桃","鉢植え","4","開花・受粉管理。早めの摘果開始。","緩効性・有機配合・置き肥・少量","2","2","2","鉢(10号)","",""
"桃","鉢植え","5","果実間引き・袋掛け（必要に応じて）。水分管理。","","0","0","0","鉢(10号)","",""
"桃","鉢植え","6","徒長枝の軽剪定。果実肥大を見て追肥少量。","緩効性・有機配合・置き肥・少量","2","1","2","鉢(10号)","",""
"桃","鉢植え","7","高温期の灌水・日焼け対策。病害虫のモニタリング。","","0","0","0","鉢(10号)","","ハダニ・アブラムシ等：適用薬剤"
"桃","鉢植え","8","収穫・お礼管理。剪定は最小限。","","0","0","0","鉢(10号)","",""
"桃","鉢植え","9","秋肥はK主体で控えめに。","速効性・追肥（カリ主体）","0","0","2","鉢(10号)","",""
"桃","鉢植え","10","落葉前の衛生管理。","","0","0","0","鉢(10号)","",""
"桃","鉢植え","11","落葉・病葉除去。資材整備。","","0","0","0","鉢(10号)","",""
"桃","鉢植え","12","防寒・防霜。来季の骨格剪定の計画。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","1","冬剪定（結果枝更新）。資材整備。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","2","植え替え・鉢増し。元肥を少量。","緩効性・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","",""
"イチジク","鉢植え","3","萌芽・新梢伸長の観察。病害虫予防。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","4","摘心・誘引で枝数を確保。軽い追肥。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"イチジク","鉢植え","5","結実の確認・摘果。鳥害対策。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","6","夏果の収穫期（系統により）。水分管理を丁寧に。","","0","0","0","鉢(10号)","","カミキリ等：適用殺虫剤"
"イチジク","鉢植え","7","連続結実期。害虫モニタリングと衛生管理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","8","高温乾燥期。日焼け・裂果対策。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","9","秋果のピーク。回復にK主体の追肥を少量。","速効性・追肥（硫酸カリ等）","0","0","3","鉢(10号)","",""
"イチジク","鉢植え","10","収穫後の樹勢維持。不要枝の整理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","11","落葉と衛生管理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","12","休眠管理・防寒。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","1","冬季せん定（混み合い枝の除去）。越冬病害虫の防除。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"サクランボ","鉢植え","2","鉢増し・植え替え。元肥は控えめに。","緩効性・置き肥（8-8-8相当）・少量","2","2","2","鉢(10号)","",""
"サクランボ","鉢植え","3","つぼみ〜開花前の防霜・雨避け準備。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","4","開花・結実管理。人工授粉の補助（必要時）。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","5","収穫・鳥害対策。収穫後にお礼肥を少量。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"サクランボ","鉢植え","6","収穫後の整枝・病害虫管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","7","夏剪定は最小限。水分管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","8","高温期の樹勢維持。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","9","秋肥はK主体で控えめに。","速効性・追肥（カリ主体）","0","0","2","鉢(10号)","",""
"サクランボ","鉢植え","10","落葉前の衛生管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","11","落葉・病葉除去。防寒準備。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","12","休眠・防寒管理。","","0","0","0","鉢(10号)","",""
"ぶどう","鉢植え","1","冬季せん定（短梢・中短梢）。資材点検。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"ぶどう","鉢植え","2","植え替え・鉢増し可。誘引・芽傷作業の準備。","","0","0","0","鉢(10号)","",""
"ぶどう","鉢植え","3","萌芽前後の防除。元肥を少量。","緩効性・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","","マシン油乳剤（越冬害虫）"
"ぶどう","鉢植え","4","新梢管理・芽かき・誘引・整房。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","1","休眠期の防寒・防風管理。鉢を風当たりの弱い場所へ。不織布や敷きワラで保温。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","2","春芽前の軽剪定（徒長枝・交差枝の間引き）。用土表面の入替（1〜2cm）。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","3","新芽の遅霜対策。越冬害虫の予防散布と観察。","","0","0","0","鉢(10号)","","マシン油乳剤（越冬害虫）"
"オレンジ","鉢植え","4","春梢管理（芽かき・誘引）と置き肥。アブラムシの初期防除。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","表土に軽く埋める。","アブラムシ：浸透移行性殺虫剤／石鹸系"
"オレンジ","鉢植え","5","開花・結実管理（摘蕾・摘果）。乾湿のメリハリ。","","0","0","0","鉢(10号)","","うどんこ等：硫黄系"
"オレンジ","鉢植え","6","梅雨期の過湿対策。果実肥大後に置き肥を追施。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","鉢土の目詰まりに注意。","黒点・そうか等：保護殺菌剤"
"オレンジ","鉢植え","7","高温期の乾燥対策。日焼け・裂果防止。夏剪定は最小限。","","0","0","0","鉢(10号)","","ハダニ：ダニ剤"
"オレンジ","鉢植え","8","酷暑管理。早朝灌水。病害虫は必要時のみ散布。","","0","0","0","鉢(10号)","","スリップス：選択性殺虫剤"
"オレンジ","鉢植え","9","秋梢の充実を優先。少量の置き肥で樹勢維持。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","窒素は控えめに。","炭疽・斑点：保護殺菌剤"
"オレンジ","鉢植え","10","着色期〜収穫。収穫後のお礼肥を控えめに。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","",""
"オレンジ","鉢植え","11","落葉や病葉の衛生処理。寒波前に防寒資材を準備。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","12","休眠入り。鉢を壁際へ移動し防寒・防霜。来季計画。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","1","冬季せん定（結果母枝の更新）。越冬病害虫の防除と資材点検。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"キウイフルーツ","鉢植え","2","植え替え・鉢増し可。主幹・側枝の骨格を見直し。元肥は控えめに。","緩効性・有機配合・置き肥・少量","2","2","2","鉢(10号)","",""
"キウイフルーツ","鉢植え","3","萌芽期。新梢伸長の誘引準備・遅霜対策。","","0","0","0","鉢(10号)","遅霜リスクの高い朝は不織布で保護。",""
"キウイフルーツ","鉢植え","4","開花前管理（新梢整理・誘引）。必要に応じ人工授粉の準備。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","5","開花〜結実。結実過多は摘果で調整。軽い追肥で樹勢維持。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"キウイフルーツ","鉢植え","6","果実肥大。水分はやや多めに。病害虫はモニタリング中心。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","7","高温期の灌水・遮光（必要時）。枝のからまりを解消。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","8","成熟前管理。鳥害対策。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","9","収穫〜追熟管理（品種により前後）。収穫後にK主体で回復。","速効性・追肥（硫酸カリ等）","0","0","3","鉢(10号)","",""
"キウイフルーツ","鉢植え","10","落葉前の衛生管理。軽い整枝。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","11","落葉・病葉除去。防寒準備。","","0","0","0","鉢(10号)","",""
"キウイフルーツ","鉢植え","12","休眠・防寒管理。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","1","休眠期の剪定（古枝・込み合いの整理）。酸性マルチを補充。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","2","植え替え・鉢増し適期（酸性用土に更新）。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","3","芽動きに合わせて元肥（酸性土壌用の緩効性）を少量。","緩効性・酸性土壌用・置き肥（10-8-8相当）・少量","3","2","2","鉢(10号)","低Cl配合を選ぶ。","マシン油乳剤（越冬害虫）"
"ブルーベリー","鉢植え","4","新梢伸長の誘引。開花期の乾燥・寒波対策。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","5","結実・肥大初期。軽い追肥で樹勢維持。鳥害対策。","緩効性・酸性土壌用・置き肥・少量","2","1","2","鉢(10号)","","保護殺菌剤（灰色かび等）"
"ブルーベリー","鉢植え","6","果実肥大と着色。水切れ厳禁。","","0","0","0","鉢(10号)","","スリップス：選択性殺虫剤／うどんこ：硫黄系"
"ブルーベリー","鉢植え","7","収穫期（品種により前後）。過熟果はこまめに収穫。","","0","0","0","鉢(10号)","","ハダニ：ダニ剤"
"ブルーベリー","鉢植え","8","引き続き収穫。収穫後は回復重視で水管理。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","9","秋の充実にカリ主体の施肥（少量）。","速効性・低Cl・追肥（硫酸カリ等）","0","0","3","鉢(10号)","窒素は与えない。",""
"ブルーベリー","鉢植え","10","落葉準備。病葉・虫葉の除去と衛生管理。","","0","0","0","鉢(10号)","","保護殺菌剤（斑点・炭疽）"
"ブルーベリー","鉢植え","11","休眠入り前の整枝。防寒の準備（株元マルチ増量）。","","0","0","0","鉢(10号)","",""
"ブルーベリー","鉢植え","12","休眠期の管理。用土のpH点検と資材整理。","","0","0","0","鉢(10号)","",""
"アーモンド","地植え","1","冬季せん定（骨格維持・交差枝除去）。越冬防除。","","0","0","0","成木","","冬季：石灰硫黄合剤等"
"アーモンド","地植え","2","元肥は控えめ。早春の開花に備え整枝誘引。","緩効性・有機配合・株周施肥","60","30","50","成木","",""
"アーモンド","地植え","3","開花・受粉管理（受粉樹・昆虫活用）。遅霜対策。","","0","0","0","成木","",""
"アーモンド","地植え","4","結実確認。樹勢維持の軽い追肥。","緩効性・少量追肥","20","10","20","成木","",""
"アーモンド","地植え","5","新梢管理・病害虫モニタリング。","","0","0","0","成木","",""
"アーモンド","地植え","6","果実肥大・裂果防止。","","0","0","0","成木","",""
"アーモンド","地植え","7","高温期の潅水。害虫ローテーション。","","0","0","0","成木","",""
"アーモンド","地植え","8","収穫・乾燥・選別。収穫後に回復追肥（K主体）。","速効性・回復追肥（K主体）","0","0","70","成木","",""
"アーモンド","地植え","9","剪定計画・病葉整理。","","0","0","0","成木","",""
"アーモンド","地植え","10","落葉期前の衛生管理。","緩効性・控えめ秋肥","15","10","20","成木","",""
"アーモンド","地植え","11","落葉・病葉回収。","","0","0","0","成木","",""
"アーモンド","地植え","12","休眠・防寒管理。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","1","冬季せん定（密度調整）。越冬防除と資材点検。","","0","0","0","成木","","冬季：石灰硫黄合剤等"
"ヘーゼルナッツ","地植え","2","元肥は控えめ。株元に有機マルチ。","緩効性・有機配合・株周施肥","50","25","50","成木","過湿を避け根域マルチ。",""
"ヘーゼルナッツ","地植え","3","萌芽・開花管理。授粉状況の確認。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","4","結実・新梢伸長のバランス管理。軽い追肥。","緩効性・少量追肥","20","10","20","成木","",""
"ヘーゼルナッツ","地植え","5","病害虫モニタリング・通風確保。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","6","果実肥大。乾燥と高温対策。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","7","夏季の水管理・病害虫ローテーション。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","8","収穫・乾燥・異物除去。収穫後はK主体で回復。","速効性・回復追肥（K主体）","0","0","60","成木","",""
"ヘーゼルナッツ","地植え","9","剪定計画・樹勢観察。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","10","落葉期前の衛生管理。","緩効性・控えめ秋肥","15","10","20","成木","",""
"ヘーゼルナッツ","地植え","11","落葉・病葉処理。","","0","0","0","成木","",""
"ヘーゼルナッツ","地植え","12","休眠管理・防寒。","","0","0","0","成木","",""
"リンゴ","地植え","1","冬季せん定（徒長枝整理・結果母枝更新）。越冬防除。","","0","0","0","成木","","冬季：石灰硫黄合剤等"
"リンゴ","地植え","2","元肥（控えめに）と骨格誘引。","緩効性・有機配合・株周施肥","70","35","70","成木","根域外周に分施。",""
"リンゴ","地植え","3","萌芽前後。凍霜害対策・授粉準備。","","0","0","0","成木","",""
"リンゴ","地植え","4","開花〜結実。摘果開始。軽い追肥。","緩効性・少量追肥","25","10","25","成木","",""
"リンゴ","地植え","5","摘果仕上げ・病害虫予防。","","0","0","0","成木","",""
"リンゴ","地植え","6","果実肥大初期。葉色を見て微調整。","","0","0","0","成木","",""
"リンゴ","地植え","7","夏季の潅水・日焼け対策・病害虫ローテーション。","","0","0","0","成木","",""
"リンゴ","地植え","8","色付き促進管理。収穫後に回復追肥（K主体）。","速効性・回復追肥（K主体）","0","0","80","成木","",""
"リンゴ","地植え","9","収穫・選別。剪定計画の見直し。","","0","0","0","成木","",""
"リンゴ","地植え","10","落葉病害対策。","緩効性・控えめ秋肥","15","10","25","成木","",""
"リンゴ","地植え","11","落葉・病葉処理・資材整理。","","0","0","0","成木","",""
"リンゴ","地植え","12","休眠管理・資材点検。","","0","0","0","成木","",""
"梨","地植え","1","冬季せん定（結果母枝更新・花芽確保）。越冬防除。","","0","0","0","成木","","冬季：石灰硫黄合剤等"
"梨","地植え","2","主枝の配列調整と誘引。元肥は控えめに。","緩効性・有機配合・株元周囲溝施肥","80","40","60","成木","ドリップライン外周に環状施肥。",""
"梨","地植え","3","発芽・開花前管理。受粉準備・授粉具の点検。","","0","0","0","成木","",""
"梨","地植え","4","開花・結実。生理落果を見ながら摘果開始。軽い追肥。","緩効性・少量追肥","30","10","30","成木","",""
"梨","地植え","5","摘果仕上げ・袋掛け（任意）。潅水と病害虫モニタリング。","","0","0","0","成木","",""
"梨","地植え","6","果実肥大。梅雨期の病害予防と通風確保。","","0","0","0","成木","",""
"梨","地植え","7","夏季の水管理・日焼け防止。","","0","0","0","成木","",""
"梨","地植え","8","収穫期前後。収穫後に回復の追肥（K主体）。","速効性・回復追肥（K主体）","0","0","80","成木","",""
"梨","地植え","9","収穫整理・樹勢の観察。","","0","0","0","成木","",""
"梨","地植え","10","秋の軽整枝・落葉病害対策。","緩効性・控えめ秋肥","20","10","30","成木","",""
"梨","地植え","11","落葉・病葉の回収と圃場衛生。","","0","0","0","成木","",""
"梨","地植え","12","資材整備・来季計画。","","0","0","0","成木","",""
"ぶどう","地植え","1","冬剪定（結果母枝更新・短梢中心）。寒肥（有機主体）を株周りに施用。剪定枝は圃場外へ処分。","有機主体の寒肥（元肥）※量は株当たり","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","多肥は避ける。","冬季：石灰硫黄合剤等"
"ぶどう","地植え","2","剪定仕上げ／棚・資材点検。排水確認。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","ぬかるみが続く場合は暗渠や高畝化を検討。",""
"ぶどう","地植え","3","萌芽前後の越冬害虫対策・病害予防。芽傷・発芽促進の必要性を点検。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","発芽期までに樹勢を確認。","マシン油乳剤（越冬害虫）"
"ぶどう","地植え","4","芽かき・新梢誘引・整房（花穂整理）。風通しの確保。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","過繁茂は果実品質低下。","保護殺菌剤（べと・うどんこ）"
"ぶどう","地植え","5","新梢管理・摘心。品種に応じ花穂整形。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","欧州系は弱めの新梢管理。","うどんこ：硫黄系／選択性殺菌剤"
"ぶどう","地植え","6","開花〜結実。無核化が必要な品種はジベレリン処理。副梢整理と病害予防。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","降雨時は防除間隔を短縮。","保護+浸透混用（べと・黒とう病）"
"ぶどう","地植え","7","摘粒・袋掛け（必要時）。水分は過不足なく。多肥は避ける。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","極端な窒素は裂果・日焼け誘発。","灰色かび：保護殺菌剤／ハダニ：ダニ剤"
"ぶどう","地植え","8","着色・肥大管理。裂果・日焼け対策。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","猛暑時は敷きワラや簡易遮光。","スリップス：選択性殺虫剤"
"ぶどう","地植え","9","収穫（品種で前後）。収穫後の樹勢回復を優先。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","高温期の急な剪定は避ける。",""
"ぶどう","地植え","10","礼肥（株当たり適量）。秋期の病葉除去。","有機主体・緩効性（株当たり適量）","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","窒素過多は避け、Kを重視。","炭疽・斑点：保護殺菌剤"
"ぶどう","地植え","11","落葉期の衛生管理（病葉・果梗の除去）。枝の充実確認。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","翌年の結果位置を想定してマーク。",""
"ぶどう","地植え","12","休眠・資材整備・棚の補修。剪定計画の立案。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","降雪地域は枝折れ対策。",""
"パッションフルーツ","鉢植え","1","室内・軒下で防寒（最低10℃目安）。水やりは控えめ。害虫確認。","","0.0","0.0","0.0","鉢(10号)","根の低温障害に注意。",""
"パッションフルーツ","鉢植え","2","同上。剪定計画と支柱・ワイヤの準備。","","0.0","0.0","0.0","鉢(10号)","風通しの良い置き場を確保。",""
"パッションフルーツ","鉢植え","3","強剪定（更新）と必要なら植え替え。植え替え時は元肥少量にとどめる。","緩効性・置き肥（8-8-8相当）・少量","2.0","1.0","2.0","鉢(10号)","根をいじった株は施肥を控えめに。","マシン油乳剤（越冬害虫）"
"パッションフルーツ","鉢植え","4","屋外慣らし開始。つる誘引の準備。置き肥で生長を促す。","緩効性・置き肥（8-8-8相当）・少量","3.0","2.0","3.0","鉢(10号)","表土に軽く埋める。","アブラムシ：浸透移行性殺虫剤／うどんこ：硫黄系"
"パッションフルーツ","鉢植え","5","つる誘引。開花始まり。乾湿メリハリ。必要に応じ人工受粉の準備。","緩効性・置き肥・少量","2.0","1.0","2.0","鉢(10号)","花は午前中に開花・受粉。",""
"パッションフルーツ","鉢植え","6","開花最盛〜着果期。水切れ厳禁。追肥で樹勢維持。","緩効性・置き肥・少量","3.0","2.0","3.0","鉢(10号)","高温期は朝夕潅水。","スリップス：選択性殺虫剤"
"パッションフルーツ","鉢植え","7","果実肥大。葉面積を確保しつつ風通しを維持。","","0.0","0.0","0.0","鉢(10号)","真夏の直射は軽遮光で。","ハダニ：ダニ剤"
"パッションフルーツ","鉢植え","8","果実肥大〜熟期。置き肥を追施。","緩効性・置き肥・少量","3.0","2.0","3.0","鉢(10号)","受粉後は肥料切れに注意。",""
"パッションフルーツ","鉢植え","9","収穫。回復に軽い追肥。","緩効性・置き肥・少量","2.0","1.0","2.0","鉢(10号)","落果してから追熟。",""
"パッションフルーツ","鉢植え","10","収穫後整理・軽剪定。越冬準備を段階的に。","","0.0","0.0","0.0","鉢(10号)","夜間冷え込みに注意。","保護殺菌剤（斑点・炭疽）"
"パッションフルーツ","鉢植え","11","室内取り込みの準備。剪定と誘引材の撤去。","","0.0","0.0","0.0","鉢(10号)","室内は明るく風通しよく。",""
"パッションフルーツ","鉢植え","12","室内管理・防寒徹底。潅水は控えめに維持。","","0.0","0.0","0.0","鉢(10号)","根鉢を冷やさない。",""
"ラズベリー","地植え","1","前年結実枝を株元から更新剪定。枯葉・病葉の除去。支柱・誘引線の点検。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","密生を避けて風通し確保。","冬季：石灰硫黄合剤等（適用外の品種は使用不可）"
"ラズベリー","地植え","2","元肥（控えめ）。株間の吸芽を調整し更新株を選抜。","有機主体の元肥（控えめ）","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","過湿地は盛り土・排水溝で改善。",""
"ラズベリー","地植え","3","新芽展開。霜害・風害対策。草勢の偏りを確認。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","過繁茂は小果化につながる。",""
"ラズベリー","地植え","4","不要芽・弱い新梢の間引き。株元の清掃とマルチ補充。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","マルチは過湿にならない厚さに。","うどんこ：硫黄系／灰色かび：保護殺菌剤"
"ラズベリー","地植え","5","開花期の整枝・誘引。鳥害対策の準備。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","蜜源として昆虫が増えるので観察を強化。","アブラムシ：選択性殺虫剤"
"ラズベリー","地植え","6","結実肥大期。水分管理を丁寧に。株元の風通し確保。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","地表灌水は朝中心。",""
"ラズベリー","地植え","7","収穫最盛〜終了。収穫後に結実枝を地際で切除。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","来季結果用の新梢を保護。","ハダニ：ダニ剤／ショウジョウバエ対策：衛生管理"
"ラズベリー","地植え","8","新梢育成期。追肥は控えめに施す。","緩効性・少量追肥","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","窒素過多は徒長・軟弱。",""
"ラズベリー","地植え","9","新梢充実。株間整理と誘引。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","越冬芽の位置を確認。",""
"ラズベリー","地植え","10","秋の緩効性肥料を控えめに。落葉病斑の発生は葉の除去で衛生管理。","緩効性・控えめ","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","冬の過湿防止のためマルチを薄く維持。","保護殺菌剤（斑点・炭疽）"
"ラズベリー","地植え","11","落葉前後の枯葉処理と株元清掃。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","害虫越冬場所を減らす。",""
"ラズベリー","地植え","12","寒冷地は防寒（霜柱・根上がり防止）。資材整備。","","0.0","0.0","0.0","地植え・成木（株当たり。量は別表）","排水第一。",""
